,population density P,proportion A
48499,24.87707599,0.272581328
48255,7.52384626,0.143401102
48267,1.319973491,0.3019617
48157,358.4469608,0.116490459
48171,9.707976469,0.300306817
48329,72.71335772,0.10335557
48463,6.078151463,0.168260427
48001,20.7297132,0.150118265
48049,15.35741329,0.20481991
48059,5.867743745,0.212769062
48067,11.43167894,0.225042182
48391,3.310765894,0.21886121
48491,207.5428306,0.126217147
48013,15.45955628,0.149212896
48131,2.110178329,0.177535863
48139,78.01448992,0.129252514
48149,9.817296782,0.260508329
48169,2.504767523,0.10727179
48197,1.965417718,0.224069899
48203,29.00269544,0.169964551
48279,4.949537303,0.169514905
48341,9.06744372,0.112931922
48471,36.76901324,0.132149308
48465,5.676586184,0.139287591
48109,0.221281478,0.203017833
48365,10.56585877,0.19905761
48437,2.987481094,0.175702811
48073,18.31193553,0.177275703
48207,2.294569307,0.226491779
48297,4.049849573,0.200476485
48337,8.212094465,0.221415335
48205,1.418630403,0.155162791
48435,0.894962367,0.192410317
48129,1.349376071,0.252683226
48305,2.416264092,0.165742893
48069,3.165612802,0.171843212
48311,0.199664494,0.25375626
48405,5.157969716,0.263543377
48009,3.566946568,0.202805377
48175,3.148469493,0.236459521
48105,0.425186148,0.187984496
48081,1.365532422,0.272754947
48119,7.261859177,0.211814185
48153,2.098985933,0.196590699
48483,2.104486717,0.199077787
48385,1.519738308,0.312794491
55007,4.153592852,0.29174889
55043,16.97611425,0.175923609
55131,121.4398994,0.183930739
55097,33.09277231,0.172457404
55033,20.34563251,0.157490369
55079,1499.986068,0.138961181
55141,35.47661732,0.209418581
55109,49.23240086,0.147996878
55035,63.40912528,0.163092524
55001,11.61908921,0.301641885
55081,19.70829053,0.17274692
55025,175.4913788,0.141100394
55029,23.65301497,0.303109928
55065,10.12201163,0.189272169
55113,5.178238159,0.268964754
55137,14.88209717,0.249429131
55073,33.88125585,0.179451698
55101,224.6540274,0.170369434
55133,271.1285736,0.191603907
55027,38.11798384,0.178893438
55059,235.2398768,0.145864617
55087,114.4724029,0.153788876
55105,87.18724975,0.168727473
55057,12.83692548,0.20826471
55123,14.5509666,0.199732995
55103,11.36299953,0.236799538
55125,8.76498725,0.305736353
55067,8.497287639,0.244061362
55099,4.254275614,0.269167794
55041,3.394900441,0.243054799
55119,7.823615184,0.194745831
55019,11.00597151,0.166700326
55023,10.40169687,0.240660295
55039,52.61330191,0.187211982
55063,97.33551387,0.167785791
55117,88.2203115,0.183619696
55005,20.32362852,0.223494414
55031,12.77138537,0.193565865
55047,19.35010904,0.22570467
55075,11.34136818,0.240196781
55077,12.98717864,0.253158874
55021,28.42999904,0.184811598
55049,11.94421773,0.191845512
55055,57.18308739,0.173570409
55051,2.956615546,0.315446094
55053,8.176754549,0.193642986
55089,150.6473513,0.203488181
55135,26.20062862,0.204929265
55085,11.84326611,0.267004915
55121,16.04261814,0.180704093
55111,29.95836898,0.188303987
55003,5.889401209,0.203292592
55069,12.12762619,0.224099099
55115,17.38971033,0.2136932
55127,70.59023611,0.183586586
55015,51.10161179,0.157540515
55045,24.53486159,0.192676877
55093,27.56202044,0.1534379
55095,18.20378349,0.213374239
55061,23.13478161,0.207020615
55071,52.87204639,0.21109882
55011,7.251676098,0.22419367
55017,24.63511798,0.185218703
55107,5.898497253,0.250246722
55009,194.3881067,0.152336831
55013,7.264539971,0.297022513
55083,14.84489815,0.210034646
55139,114.8523742,0.163938626
55129,7.539616802,0.272694459
55091,11.38717403,0.224453552
55037,3.548067781,0.275657895
37031,46.23849534,0.255182094
37119,788.4688527,0.112677874
37009,23.90694763,0.264201339
37011,27.77926351,0.222740034
37017,12.88036099,0.225801006
37025,239.5515878,0.131085827
37061,22.92220536,0.194875059
37127,67.56545335,0.186159403
37175,33.46913536,0.304905409
37081,317.8304242,0.151425188
37143,19.94732566,0.275753383
37183,508.8180586,0.119089531
37033,20.49277739,0.222231998
37187,11.33659904,0.263540531
37195,81.53802662,0.185698511
37199,22.77960657,0.259337447
37093,51.33786939,0.107673695
37113,27.51301968,0.279397066
37129,397.337436,0.182351456
37171,51.37864582,0.204730478
37089,119.7852317,0.253598143
37111,38.65265692,0.20707909
37123,19.83041294,0.213392857
37063,421.2676195,0.13445448
37003,53.38176954,0.199539019
37051,196.242744,0.12397941
37055,34.92759692,0.226505567
37065,37.25041989,0.203116692
37071,242.0530821,0.161154324
37079,29.55582409,0.167644471
37101,104.8203466,0.133429632
37157,61.43130458,0.206390499
37135,143.2190217,0.146035759
37067,358.3140299,0.161155675
37115,18.12448988,0.226075878
37181,61.18901563,0.187530832
37045,82.04603139,0.186132267
37047,20.46511117,0.20233463
37155,47.36546853,0.156109995
37153,34.55016784,0.178401788
37057,114.9028158,0.182262161
37053,37.68288387,0.167520638
37105,94.26725904,0.165976612
37169,37.70071127,0.219274998
37087,43.23552996,0.248373277
37151,70.46340459,0.177041492
37161,43.8691091,0.216879248
37167,59.6206948,0.187600992
37179,143.8351722,0.128352796
37013,20.03021884,0.245168947
37131,12.25153086,0.278264354
37147,100.2783417,0.138232634
37149,31.30476448,0.318851823
37185,16.19589634,0.259616932
37189,66.66375175,0.158089391
37015,9.767353196,0.233578677
37019,59.3283706,0.325395954
37109,109.9480317,0.183383432
37021,157.6335651,0.202255865
37163,24.04874144,0.178025812
37173,10.09225938,0.196784019
37107,53.02627488,0.208025688
37121,25.92429025,0.254245251
37035,149.0631608,0.180657173
37069,53.57860815,0.168024366
37117,18.62804994,0.241920842
37133,98.56170968,0.09406773
37039,23.79800672,0.303521151
37041,29.93014965,0.253447144
37141,26.34249886,0.181780428
37097,120.6740601,0.161314514
37085,85.75860546,0.13068705
37197,42.55627445,0.202144239
37007,15.85558782,0.197923279
37043,19.39157615,0.315138939
37059,61.87878682,0.213553371
37137,12.98272003,0.298859006
37139,67.69951117,0.176793946
37145,37.34197221,0.197835653
37165,41.15837677,0.18085262
37193,33.68706812,0.219923302
37027,65.64671755,0.203202856
37091,23.20530981,0.198673039
37077,43.83018338,0.169565431
37191,81.2207141,0.165162247
37049,53.23782247,0.198725204
37159,108.2401405,0.173354484
37001,152.4617447,0.166013324
37023,65.74492814,0.205971377
37103,7.476783327,0.237737083
37005,17.78559767,0.270697418
37125,54.56949153,0.237605895
37083,25.71602633,0.212339332
37099,33.63646794,0.194975411
37037,41.54631901,0.243482822
37075,10.28130694,0.24040857
37073,11.7072717,0.213972132
37029,16.42895554,0.163560877
12053,151.0535095,0.26887326
12107,34.19281806,0.232095364
12115,276.2774692,0.371240294
12003,18.51159778,0.138347195
12019,130.8138452,0.16437264
12069,128.0067759,0.266200822
12099,258.3217235,0.240990645
12101,282.5732705,0.221766422
12007,36.31497422,0.178255954
12113,63.1400602,0.160059362
12111,207.481688,0.243276655
12089,52.02234759,0.227164566
12109,156.5706739,0.206117284
12095,549.3572391,0.122308568
12121,24.22020649,0.212573611
12125,24.92053197,0.152635817
12005,76.5613879,0.181464317
12081,193.6687981,0.277816139
12009,180.6113244,0.237579972
12087,23.35925501,0.236292113
12123,7.980235115,0.20533052
12071,330.9452325,0.2877589
12041,19.39090478,0.203494232
12057,520.1083437,0.14518362
12131,25.30640224,0.1982817
12011,611.6209525,0.170177038
12059,15.50467699,0.198229818
12037,8.476170996,0.254818503
12133,15.85851349,0.181416104
12079,9.682722562,0.21756065
12015,96.95957056,0.403067041
12043,4.734646117,0.254370053
12047,10.40833911,0.18374634
12049,15.298652,0.165771812
12065,9.134049767,0.241231999
12073,160.5934157,0.139685701
12097,99.50002106,0.133148426
12117,525.7303013,0.158313458
12129,20.65226931,0.157924355
12023,33.54246853,0.194980917
12103,1134.695778,0.251150284
12035,87.67055025,0.309052456
12063,19.11844342,0.204823097
12093,17.1404376,0.202562938
12017,89.82956118,0.363297779
12021,68.84863753,0.330333191
12051,12.83938461,0.133540294
12075,14.30698121,0.24761705
12091,82.08060192,0.160313891
12077,3.64916525,0.153171221
12001,110.8429023,0.144954287
12039,31.97690928,0.190465323
12086,515.7425324,0.16434375
12033,166.4365255,0.172913948
12013,9.161177906,0.185795954
12029,8.989784056,0.233468608
12027,20.49971668,0.228072757
12045,9.641738502,0.23727023
12085,90.03963561,0.312060543
12127,168.5815752,0.247708825
12031,453.0823663,0.144997921
12061,114.1753168,0.336164114
12105,139.0292936,0.198981309
12083,87.17884905,0.286562527
12055,35.27102873,0.35641403
12119,86.25641287,0.579382635
12067,5.790591721,0.173738602
42027,55.00380543,0.148460765
42001,76.95710395,0.206282864
42009,18.08355863,0.230091658
42063,38.5602218,0.197037233
42055,77.97806266,0.195844689
42115,17.86029778,0.238564812
42051,62.3378961,0.215734524
42065,26.19883601,0.209545853
42011,191.4445375,0.173699024
42013,90.20622461,0.206200591
42081,35.49171059,0.196752752
42087,43.00089239,0.213768587
42025,64.59926232,0.215804673
42103,39.92957581,0.234123595
42123,16.59895701,0.234858105
42061,19.16737221,0.21171774
42101,4342.922591,0.139223079
42071,217.264931,0.186508231
42125,94.01649099,0.209118828
42095,320.7228542,0.195312974
42107,70.64510241,0.205674701
42129,132.3410233,0.230725854
42035,16.10844153,0.19351565
42089,105.451325,0.180893476
42059,24.04777424,0.194587378
42069,179.4863132,0.199700812
42085,62.68149986,0.222378861
42105,5.860587987,0.244130024
42127,26.34763557,0.245772156
42007,146.4638746,0.216603558
42037,51.00150567,0.196517413
42057,12.84914152,0.219719857
42019,94.14299951,0.194577188
42099,31.8879449,0.193170412
42111,26.49326742,0.227883954
42005,38.1704916,0.225152532
42017,401.869247,0.191898881
42047,14.41088245,0.222548387
42075,152.7418088,0.197447872
42033,26.97653384,0.206018547
42015,19.97111543,0.215014674
42093,53.04615278,0.207660513
42131,24.88218829,0.219200675
42039,31.28228128,0.213586218
42117,13.9620351,0.223053126
42045,1168.067714,0.16530695
42031,23.60788703,0.200891538
42041,182.2342809,0.18554488
42083,15.88038851,0.199208509
42133,193.7269872,0.179760363
42097,74.25211216,0.2132779
42121,28.57167578,0.234116761
42003,649.4715196,0.191352348
42109,46.32560328,0.193033674
42049,129.4647758,0.186052006
42091,679.540612,0.178419947
42021,74.42902255,0.228621945
42043,198.3555042,0.17200648
42073,91.96582143,0.222850902
42029,271.9631463,0.167235201
42077,415.9335931,0.169868997
42079,138.9463214,0.197114366
42119,51.93854763,0.187366744
42067,23.0931157,0.205504509
42113,4.988447098,0.294621446
27001,3.04782283,0.336941296
27045,9.530619028,0.211988511
27047,16.54260336,0.223707636
27035,22.12781026,0.232550402
27123,1257.234725,0.147425116
27165,9.906747164,0.199076541
27009,38.77041296,0.136818445
27037,290.0343918,0.146633839
27039,18.35851518,0.149142145
27121,6.102172519,0.238280559
27139,158.5142709,0.113646002
27041,20.95638566,0.231151913
27067,19.62306944,0.190778942
27075,1.84531323,0.267449326
27133,7.766821426,0.199215929
27145,44.07675871,0.152960277
27137,11.49917783,0.202044618
27157,15.05599712,0.223484848
27159,10.01895327,0.203029441
27111,10.45733838,0.242582578
27151,5.057486741,0.225839268
27119,6.044491786,0.18659612
27003,315.6517533,0.144095696
27099,21.76120989,0.179401993
27071,1.480770414,0.265998011
27109,96.2322219,0.157463924
27057,8.269320959,0.253676815
27163,244.4827561,0.155043598
27079,23.40511198,0.177695608
27055,12.81743728,0.217499735
27153,9.985410624,0.217604686
27007,5.860616646,0.164777888
27127,6.769829791,0.208724963
27097,11.4171451,0.1984071
27065,11.62731943,0.213051344
27005,9.42409076,0.213152508
27083,13.68385232,0.164929467
27027,24.0188352,0.134882724
27029,3.204715922,0.20391651
27033,6.868705542,0.227221402
27101,4.391212002,0.253305583
27169,29.94359245,0.176418475
27103,28.54896035,0.168103573
27131,50.31005176,0.156599753
27025,49.53586509,0.157862202
27113,8.763845489,0.179796969
27149,6.507632183,0.169423196
27093,14.04977632,0.199581268
27171,76.57475833,0.128837134
27021,4.826094947,0.263044201
27017,16.01099864,0.177613219
27053,817.3141731,0.143994363
27135,3.538025293,0.181474234
27147,33.48147038,0.181521681
27013,34.92491642,0.14274966
27031,1.350237723,0.29137654
27091,10.61876123,0.231038099
27019,110.0462217,0.128396263
27061,5.952514439,0.243790821
27015,16.21959674,0.212114198
27023,8.296498528,0.211741372
27043,7.458170537,0.229829729
27085,28.14617249,0.192352669
27129,5.771708507,0.208978538
27141,83.38916742,0.116576979
27049,23.6150214,0.19840269
27059,35.24908705,0.161088019
27105,11.93349908,0.161828705
27115,7.795475589,0.212468414
27095,15.03053612,0.183658822
27117,7.821936004,0.201273885
27161,16.94503213,0.180667616
27073,3.341822787,0.271468969
27143,9.550825846,0.187386172
27063,5.375105359,0.22213328
27087,3.592169058,0.172707101
27089,1.929581897,0.221078269
27107,2.845260876,0.208288065
27173,4.827039932,0.199306941
27167,3.35364689,0.189151813
27081,3.979332248,0.23931927
27051,4.085958877,0.22900889
27077,0.819430305,0.250730412
27011,3.787830139,0.257739938
27125,3.521594128,0.215302491
15009,54.37202916,0.190396708
15003,635.6928818,0.18313991
15001,19.15023215,0.222957111
15007,44.83744101,0.209029142
38101,13.17086675,0.134670938
38099,3.161075986,0.212175724
38059,6.624888428,0.163637456
38009,1.456352714,0.242675858
38093,3.636772579,0.194932135
38003,2.775705208,0.227720947
38025,0.761258211,0.169027846
38035,19.68731207,0.134023859
38071,3.453321042,0.204706085
38077,4.426544121,0.186717474
38089,9.7180848,0.129160723
38017,40.40897665,0.124557629
38105,7.382360232,0.089119551
38053,1.991071602,0.08777536
38015,22.84606401,0.169290299
38061,1.953622093,0.122728201
38067,2.36503256,0.240689353
38057,2.907004353,0.201125344
38079,5.025591856,0.127563577
38055,1.626694676,0.244274029
38073,2.554307604,0.214736842
38097,3.590766049,0.197049262
38081,1.718269002,0.227733056
2122,1.39065971,0.18501386
2020,65.43109892,0.117482249
2170,1.665315779,0.127610491
2130,1.048549638,0.166917509
2150,0.717568087,0.120687023
2090,5.000337051,0.116370479
2110,4.452000527,0.145771329
2240,0.105302534,0.1508741
2185,0.047571339,0.070703408
2220,1.031009848,0.16581844
2050,0.170688091,0.07959479
2180,0.164704599,0.081890547
36083,93.6678084,0.17412676
36089,14.88317561,0.178357803
36043,15.9679945,0.211126629
36101,25.77100031,0.19818106
36047,13334.42922,0.142797883
36085,3320.150325,0.16393479
36023,36.08967177,0.166217949
36115,28.02964731,0.202228494
36037,45.5844263,0.190449275
36051,37.35724533,0.188470246
36005,11980.38152,0.132886023
36009,22.52378838,0.196458707
36061,20648.42807,0.168573705
36117,57.6861579,0.193227877
36039,28.16738525,0.227342902
36071,185.0508385,0.140530506
36103,512.9566609,0.17012322
36033,10.8384278,0.181888887
36045,33.65286662,0.142471575
36057,46.68238254,0.190603105
36027,139.1598792,0.180229681
36105,30.49680013,0.187513516
36029,350.1123773,0.182405518
36065,71.38007299,0.189649007
36021,36.70581382,0.244054581
36063,154.6073547,0.19506174
36095,18.34986526,0.226563026
36035,38.71521334,0.198601241
36099,33.49526778,0.199225219
36011,40.10551058,0.199847875
36019,27.64756154,0.177258949
36069,65.66773502,0.206756456
36109,83.19488556,0.150344723
36073,39.73849668,0.18574225
36075,44.63685627,0.16835988
36067,228.7846275,0.175859297
36097,20.21532701,0.218620767
36079,153.3914491,0.179272712
36003,17.36653609,0.195500538
36123,25.49332589,0.210505067
36113,27.29509297,0.226919391
36091,107.9530073,0.186754253
36013,45.50998081,0.203012761
36049,7.963871559,0.189603942
36077,22.28529584,0.211010115
36119,814.4008593,0.171868918
36017,20.32073531,0.209508683
36025,11.67649736,0.252871747
36055,440.6241207,0.177260577
36087,655.5107038,0.155055462
36093,291.8811481,0.174575456
36001,228.3299631,0.173831431
36007,107.4306188,0.195270859
36015,79.20755559,0.193411138
36053,39.77875846,0.187585457
36059,1715.203662,0.178413732
36111,60.58294216,0.201934657
36107,35.83102858,0.206493024
36031,7.545090096,0.246963129
36081,7553.49544,0.162767079
36121,26.30072168,0.188461918
44003,375.1839688,0.193637004
44005,302.2363943,0.231502995
44007,590.5359404,0.155296885
44001,694.1638106,0.197759357
44009,142.7165338,0.215125727
21029,105.7925247,0.163016381
21027,13.47877013,0.198336188
21209,77.36625376,0.122113366
21185,132.9622205,0.136701821
21221,11.28204547,0.228990251
21073,93.89736989,0.179976717
21137,27.88303264,0.183888637
21173,54.60404899,0.161941015
21207,24.56265769,0.200655701
21003,22.57741769,0.178231293
21035,35.29092609,0.16932133
21197,28.15070888,0.159238095
21217,36.28863793,0.179592621
21015,204.8334576,0.138438686
21095,22.13617714,0.188499236
21059,83.75138358,0.168779761
21097,23.30919605,0.17954205
21103,20.81429516,0.177539698
21145,97.87243519,0.197548326
21195,28.73383485,0.190716465
21213,32.01840511,0.161726443
21077,32.06860868,0.146784769
21021,64.67964466,0.184980728
21167,34.53785384,0.186583642
21171,13.18281442,0.187455893
21043,24.96167762,0.191391873
21193,32.10222331,0.17253249
21199,37.10872571,0.190839343
21157,35.9517716,0.218481556
21229,15.42915985,0.188544351
21089,39.20497359,0.211385505
21205,33.27799579,0.140817651
21227,94.91445706,0.130597958
21231,15.60105831,0.2132556
21113,117.3423245,0.15412342
21019,115.0946487,0.19853703
21139,10.03765274,0.223672367
21083,25.42667407,0.186091559
21115,33.1673409,0.188456281
21203,19.46555871,0.189199302
21235,31.86069925,0.156806668
21069,16.59171028,0.182143567
21133,24.55295379,0.199303944
21163,35.75456283,0.147675387
21233,14.97489295,0.178346396
21121,30.07743871,0.175414776
21219,12.54279584,0.162067276
21211,48.19705867,0.158291927
21081,36.95935077,0.139547003
21155,21.80399608,0.166556004
21183,15.40083826,0.180934752
21191,20.07703954,0.16138722
21215,39.16789976,0.146348994
21225,14.53244944,0.191294806
21033,14.03201157,0.207321895
21093,67.85523444,0.145136229
21125,54.50498673,0.164611551
21161,26.84260802,0.183798622
21005,45.12718665,0.160457612
21031,11.06891982,0.183442477
21177,24.9219498,0.197362041
21099,17.8261358,0.167937348
21049,56.0079953,0.177440722
21055,9.355216962,0.206720071
21141,19.01708196,0.183783587
21047,38.85504082,0.126364797
21051,16.67461373,0.15649737
21147,15.12841012,0.162560701
21009,34.36096593,0.174119287
21037,225.1837801,0.163428891
21101,37.18352212,0.181548283
21151,80.79485134,0.141297665
21067,436.3996912,0.137644002
21127,14.98350615,0.177828249
21179,42.56592983,0.162689666
21001,17.70798606,0.189219213
21017,26.82307899,0.19337153
21075,10.91207933,0.206510057
21123,21.77259662,0.172666712
21143,13.06927556,0.244329303
21025,10.69803198,0.177324098
21045,13.81364538,0.20139281
21107,31.64578145,0.185508906
21041,30.38685792,0.156232636
21079,27.9834176,0.18317007
21085,19.96774723,0.178607926
21111,760.7764641,0.163211846
21239,54.0640214,0.192014289
21013,25.77451352,0.19560166
21117,397.6869912,0.147046296
21071,35.08253154,0.188447734
21065,21.40045342,0.191965546
21187,12.29022869,0.194905476
21149,13.79989096,0.19567355
21181,14.78375059,0.16622411
21135,10.2087041,0.187800963
21175,13.8190551,0.167310074
21061,15.22465526,0.210682493
21023,15.53778932,0.173788835
21087,14.86706621,0.207380738
21223,20.94516282,0.181034483
21169,13.64784581,0.191642371
21091,17.66576391,0.180358518
21007,10.89959263,0.209702458
21109,14.44288215,0.176429729
21011,17.34278303,0.170157684
21053,17.38156102,0.198097914
21119,15.59692109,0.195704057
21165,11.46925438,0.215080144
21039,9.357779247,0.204356846
21237,11.38285804,0.193479586
47031,51.43471414,0.171348121
47069,14.66458779,0.182021678
47105,85.68223954,0.266365442
47145,52.20431056,0.232245861
47155,63.54022787,0.197721105
47183,21.84626712,0.181867915
47023,23.41854753,0.16951107
47043,42.67818119,0.160900068
47047,22.83367015,0.217084921
47029,31.37556179,0.214228173
47093,351.696768,0.158107256
47125,156.2555157,0.095001727
47021,51.63163831,0.153638223
47053,32.24747296,0.175358553
47151,15.82745858,0.169718052
47173,30.94864451,0.182791355
47005,14.04229749,0.237474003
47115,21.72408659,0.200672723
47025,28.02127535,0.198745358
47103,23.89318588,0.195271801
47119,63.33076498,0.163574959
47011,126.5222775,0.169526791
47077,20.44185858,0.1876482
47131,21.41198103,0.205793525
47147,58.99726424,0.14705034
47153,22.96198589,0.207835703
47059,43.40625123,0.213974173
47097,19.29991464,0.160467799
47123,27.35939968,0.214495762
47185,27.84020031,0.203480295
47133,19.99227725,0.202674486
47169,38.42099654,0.126367474
47013,30.44771265,0.2040993
47139,15.3100516,0.208276334
47187,163.7987777,0.135836657
47015,21.08209328,0.17729372
47113,68.31265747,0.172007325
47091,22.89464585,0.228424982
47111,31.71754003,0.157433477
47055,19.17159855,0.206420355
47075,12.91578338,0.195207972
47089,67.19630885,0.20324787
47181,8.518895549,0.191855092
47121,22.72946543,0.208467268
